Source,Destination,Bandwidth,v1,v2,v3    
SE-C010,SE-ISP4,3.5Mbps,1,1ms,20000
SE-C010,SE-ISP5,6.6Mbps,1,1ms,20000
SE-C011,SE-ISP5,4.9Mbps,1,1ms,20000
SE-C011,SE-ISP3,2.8Mbps,1,1ms,20000
SE-C012,SE-ISP1,2.8Mbps,1,1ms,20000
SE-C012,SE-ISP2,7.8Mbps,1,1ms,20000
SE-C013,SE-ISP5,5.8Mbps,1,1ms,20000
SE-C013,SE-ISP6,5.4Mbps,1,1ms,20000
SE-C014,SE-ISP4,2.6Mbps,1,1ms,20000
SE-C014,SE-ISP5,6.1Mbps,1,1ms,20000
SE-C015,SE-ISP5,3.5Mbps,1,1ms,20000
SE-C015,SE-ISP2,2.4Mbps,1,1ms,20000
